Brands,USA Rank,Q1,Q2,Q3,Q4,YTD,Year
Volvo,16,"20,104","23,570","30,270","24,744","98,688",2018
Chrysler Jeep Group,4,"510,798","556,637","511,776","480,182","2,059,393",2017
Ford Motor Company,2,"613,545","680,910","629,990","650,755","2,575,200",2017
General Motors,1,"689,056","724,925","781,056","804,608","2,999,645",2017
Honda,5,"365,293","426,589","439,717","409,823","1,641,422",2017
Nissan,6,"416,891","402,784","376,447","397,355","1,593,477",2017
Toyota,3,"532,611","622,599","676,314","602,991","2,434,515",2017
BMW,12,"82,292","89,630","83,671","98,606","354,199",2017
Hyundai,7,"168,792","177,552","165,202","173,999","685,545",2017
Jaguar Land Rover,14,"31,251","25,259","28,205","29,607","114,322",2017
Kia,9,"127,728","168,016","161,834","132,032","589,610",2017
Mazda,13,"69,071","72,551","78,673","69,130","289,425",2017
Mercedes-Benz,11,"86,574","91,181","90,369","105,175","375,299",2017
Mitsubishi,15,"29,147","25,430","24,619","24,506","103,702",2017
Porsche,17,"12,718","14,807","14,020","13,876","55,421",2017
Subaru,8,"144,250","160,574","174,038","169,140","648,002",2017
Volkswagen Group,10,"121,937","142,237","151,471","154,054","569,699",2017
Volvo,16,"13,479","20,635","22,674","24,717","81,505",2017
Chrysler Jeep Group,4,"551,203","601,156","570,366","529,955","2,252,680",2016
Ford Motor Company,2,"641,569","703,583","632,123","621,918","2,599,193",2016
General Motors,1,"683,698","755,217","773,482","830,378","3,042,775",2016
Honda,5,"357,703","434,652","436,025","409,562","1,637,942",2016
Nissan,6,"400,204","397,910","384,910","381,399","1,564,423",2016
Toyota,3,"569,079","628,721","624,618","627,169","2,449,587",2016
BMW,12,"81,542","97,128","90,464","96,160","365,294",2016
Hyundai,7,"173,330","200,730","213,628","183,077","770,760",2016
Jaguar Land Rover,14,"25,802","21,837","27,101","30,364","105,104",2016
Kia,8,"146,321","182,006","163,437","155,834","647,598",2016
Mazda,13,"64,643","80,711","78,913","73,506","297,773",2016
Mercedes-Benz,11,"84,309","96,823","97,272","102,348","380,752",2016
Mitsubishi,15,"25,212","26,722","22,417","21,916","96,267",2016
Porsche,17,"12,238","14,470","13,538","14,034","54,280",2016
Subaru,9,"132,397","147,061","167,429","168,245","615,132",2016
Volkswagen Audi,10,"111,274","134,674","137,499","164,854","548,301",2016
Volvo,16,"16,361","20,159","21,881","24,192","82,593",2016
Chrysler Jeep Group,4,505900,576300,572700,603100,2258000,2015
Ford Motor Company,2,591900,696400,677200,637500,"2.603,000",2015
General Motors,1,684000,821500,794300,782200,"3.082,000",2015
Honda,5,333900,419100,435600,398400,1587000,2015
Nissan,6,367600,368900,386000,362000,1485000,2015
Toyota,3,575600,655800,636000,632600,2500000,2015
BMW,11,91300,107600,96000,111100,406000,2015
Hyundai,7,172000,199100,207000,183900,762000,2015
Jaguar Land Rover Ltd,15,21300,18800,19500,25400,85000,2015
Kia,8,141100,169900,165000,150000,626000,2015
Mazda,13,78000,80900,82700,77400,319000,2015
Mercedes-Benz,12,82200,96900,93500,107400,380000,2015
Mitsubishi,14,23800,25800,23700,21700,95000,2015
Porsche,17,11400,13700,14200,12700,52000,2015
Subaru,9,131300,141100,156300,154300,583000,2015
Volkswagen Audi,10,119300,148700,143700,143200,555000,2015
Volvo,16,13700,15600,17000,23700,70000,2015
Chrysler Jeep Group,4,"476,000","544,000","536,000","535,000","2,091,000",2014
Ford Motor Company,2,"580,000","685,000","612,000","594,000","2,471,000",2014
General Motors,1,"650,000","806,000","752,000","727,000","2,935,000",2014
Honda,5,"325,000","414,000","421,000","380,000","1,540,000",2014
Nissan,6,"355,000","350,000","359,000","324,000","1,388,000",2014
Toyota,3,"521,000","645,000","629,000","579,000","2,374,000",2014
BMW,11,"81,000","100,000","94,000","120,000","395,000",2014
Hyundai,7,"160,000","205,000","193,000","168,000","726,000",2014
Jaguar Land Rover Ltd,15,"18,000","17,000","15,000","17,000","67,000",2014
Kia,8,"133,000","164,000","148,000","135,000","580,000",2014
Mazda,13,"78,000","78,000","85,000","65,000","306,000",2014
Mercedes-Benz,12,"79,000","88,000","92,000","108,000","367,000",2014
Mitsubishi,14,"20,000","20,000","19,000","19,000","78,000",2014
Porsche,17,"10,000","13,000","12,000","12,000","47,000",2014
Subaru,10,"112,000","126,000","137,000","138,000","513,000",2014
Volkswagen Audi,9,"123,000","141,000","139,000","147,000","550,000",2014
Volvo,16,"14,000","16,000","14,000","13,000","57,000",2014
